Source.Name,window,start_time_ms,time_mean_x,time_sd_x,time_rms_x,time_kurtosis_x,time_crest_x,fft_max_x,fft_rms_x,spectral_centroid_x,spectral_entropy_x,time_mean_y,time_sd_y,time_rms_y,time_kurtosis_y,time_crest_y,fft_max_y,fft_rms_y,spectral_centroid_y,spectral_entropy_y,time_mean_z,time_sd_z,time_rms_z,time_kurtosis_z,time_crest_z,fft_max_z,fft_rms_z,spectral_centroid_z,spectral_entropy_z,type
healthy3.csv,43,32477,-0.017889004,0.152693455,0.153737788,1.638101898,3.985962114,7.825719482,2.475947651,133.3199441,5.999026616,0.045804035,0.149998587,0.156836175,-0.728053891,2.538910427,18.55807642,2.611260115,123.5530831,4.050450986,1.038148879,0.11871014,1.044913964,-0.391007295,1.296504829,265.766113,23.56729007,36.72332996,0.07962354,healthy
healthy3.csv,44,33166,-0.025440203,0.135228929,0.137601116,0.692005654,3.764983998,6.532522795,2.238879985,121.4574247,5.992928898,0.042696945,0.146556418,0.152649313,-0.790010876,2.371848204,18.15995619,2.536074775,121.6478046,4.092082246,1.035605391,0.122932933,1.042876326,-0.631603428,1.262752799,265.11498,23.51548012,35.67023111,0.083464816,healthy
healthy3.csv,45,33854,-0.010898598,0.152236564,0.15262618,1.274230089,3.792645536,7.961729265,2.446560784,129.6381386,6.136860325,0.045153629,0.143823757,0.150745226,0.165706629,4.016505299,14.7076604,2.517051689,125.9090668,4.873061925,1.037469859,0.121167724,1.044521578,-0.386402854,1.347010947,265.592284,23.55517918,36.06328904,0.084250235,healthy
healthy3.csv,46,34543,-0.021223055,0.170746923,0.172060832,2.565602662,4.864058791,8.81174685,2.757021439,121.0853292,5.982991071,0.04360866,0.150689889,0.156873063,-0.548683451,2.441827755,17.16063244,2.592273696,121.5352373,4.315062285,1.035076145,0.126526234,1.042780664,-0.300584574,1.36213688,264.979493,23.50840146,38.18102868,0.091279426,healthy
healthy3.csv,47,35232,-0.014947922,0.17991398,0.180533877,1.474453891,4.004234624,8.760934726,2.881557212,122.6152165,5.94722314,0.039769207,0.145491968,0.150829382,-0.647716269,2.712866644,17.20972197,2.480034999,121.369645,4.311525446,1.035973566,0.125716052,1.043573551,-0.104727883,1.390813325,265.209233,23.52753174,38.55546162,0.093000887,healthy
healthy3.csv,48,35921,-0.020143516,0.1540372,0.155348705,0.735042691,3.906913798,7.095229512,2.506387329,127.2830885,6.040667171,0.043338781,0.138522859,0.145144178,-0.317162888,3.083210139,17.28305492,2.423304187,125.5445436,4.134738132,1.036623969,0.129050639,1.044625923,-0.473167432,1.297797584,265.375736,23.54679666,40.29436719,0.092028356,healthy
healthy3.csv,49,36609,-0.018145555,0.158283965,0.159320666,1.272882041,3.847818453,8.771419559,2.565589479,119.7415294,5.856019669,0.044086465,0.137937761,0.144811748,-0.400286262,2.727817361,15.42309523,2.421710636,122.4677797,4.309087931,1.036864281,0.120947187,1.043894516,0.005058368,1.403950282,265.437256,23.54123284,35.28452295,0.08453495,healthy
healthy3.csv,50,37298,-0.021862973,0.150600588,0.152179258,1.7475019,4.11020535,7.410305312,2.457082515,123.181658,6.030170822,0.041318898,0.13422702,0.140442673,-0.595889609,2.826583921,16.39853823,2.341093441,124.835319,4.192171999,1.036513328,0.116768563,1.043069881,-0.723600633,1.25502809,265.347412,23.52790829,36.94103123,0.079786705,healthy
healthy3.csv,51,37987,-0.016402273,0.144567665,0.14549517,1.210641707,3.527154889,7.121188447,2.341716547,125.0444401,6.107708992,0.046002387,0.149022933,0.155961708,-0.529229696,2.723777563,18.23785645,2.600205433,122.388978,4.129927541,1.035078059,0.123827086,1.042458505,-0.473747611,1.313141956,264.979983,23.50477058,36.52552392,0.086159017,healthy
healthy3.csv,52,38676,-0.016336449,0.146605967,0.147513352,1.765523732,4.604322193,6.839716512,2.374444574,122.3013537,6.251376715,0.040740027,0.140444307,0.146233898,-0.566509285,2.587758406,14.39549486,2.42878329,121.7748384,4.526729506,1.033328973,0.114252879,1.039626128,-0.420449762,1.321651085,264.532217,23.45291452,36.35523835,0.078241618,healthy
